Region,RegionName,StateName,CountyName,CityName,ForecastYoYPctChange
State,Alabama,AL,NA,NA,1.983231707
State,Arkansas,AR,NA,NA,2.457345972
State,Arizona,AZ,NA,NA,2.951440979
State,California,CA,NA,NA,0.224758079
State,Colorado,CO,NA,NA,2.581536034
State,Connecticut,CT,NA,NA,0.511694707
State,Delaware,DE,NA,NA,0.412087912
State,Florida,FL,NA,NA,1.767581475
State,Georgia,GA,NA,NA,4.24137931
State,Hawaii,HI,NA,NA,-0.870053737
State,Iowa,IA,NA,NA,1.783519553
State,Idaho,ID,NA,NA,9.18993994
State,Illinois,IL,NA,NA,2.076753175
State,Indiana,IN,NA,NA,4.484429066
State,Kansas,KS,NA,NA,2.116892373
State,Kentucky,KY,NA,NA,2.755845942
State,Louisiana,LA,NA,NA,-0.594928033
State,Massachusetts,MA,NA,NA,1.124540329
State,Maryland,MD,NA,NA,0.771645395
State,Maine,ME,NA,NA,2.244196045
State,Michigan,MI,NA,NA,3.485526316
State,Minnesota,MN,NA,NA,3.079425433
State,Missouri,MO,NA,NA,2.491620112
State,Mississippi,MS,NA,NA,1.960031348
State,Montana,MT,NA,NA,1.648556876
State,North Carolina,NC,NA,NA,4.11027027
State,North Dakota,ND,NA,NA,1.250604741
State,Nebraska,NE,NA,NA,3.179951691
State,New Hampshire,NH,NA,NA,2.463203463
State,New Jersey,NJ,NA,NA,1.564447159
State,New Mexico,NM,NA,NA,2.154871795
State,Nevada,NV,NA,NA,3.019080068
State,New York,NY,NA,NA,5.472037284
State,Ohio,OH,NA,NA,2.137311287
State,Oklahoma,OK,NA,NA,2.20483871
State,Oregon,OR,NA,NA,1.568825911
State,Pennsylvania,PA,NA,NA,0.967648758
State,Rhode Island,RI,NA,NA,1.274760383
State,South Carolina,SC,NA,NA,3.068862275
State,South Dakota,SD,NA,NA,3.030510258
State,Tennessee,TN,NA,NA,3.228332337
State,Texas,TX,NA,NA,2.809790923
State,Utah,UT,NA,NA,5.741217799
State,Virginia,VA,NA,NA,1.720633694
State,Vermont,VT,NA,NA,1.82962963
State,Washington,WA,NA,NA,2.434771377
State,Wisconsin,WI,NA,NA,3.2342918
State,West Virginia,WV,NA,NA,-0.315025907
State,Wyoming,WY,NA,NA,1.568714096
County,Ada County,ID,Ada County,NA,8.719769674
County,Bay County,FL,Bay County,NA,1.485238095
County,Bay County,MI,Bay County,NA,1.641824249
County,Bee County,TX,Bee County,NA,3.948760331
County,Elk County,KS,Elk County,NA,0.336231884
County,Gem County,ID,Gem County,NA,4.702312139
County,Jay County,IN,Jay County,NA,-10.36150845
County,Kay County,OK,Kay County,NA,0.282208589
County,Lee County,AL,Lee County,NA,8.580889788
County,Lee County,FL,Lee County,NA,-0.450826806
County,Lee County,MS,Lee County,NA,2.371239912
County,Lee County,NC,Lee County,NA,3.436808847
County,Lee County,TX,Lee County,NA,3.574776017
County,Ashe County,NC,Ashe County,NA,3.598717035
County,Bell County,TX,Bell County,NA,2.411255411
County,Bibb County,GA,Bibb County,NA,1.268872802
